Entity,Code,Year,Under-five mortality rate (selected)
Brazil,BRA,1934,26.44
Brazil,BRA,1935,26.23
Brazil,BRA,1936,26
Brazil,BRA,1937,25.69
Brazil,BRA,1938,25.43
Brazil,BRA,1939,25.19
Brazil,BRA,1940,24.93
Brazil,BRA,1941,24.63
Brazil,BRA,1942,24.37
Brazil,BRA,1943,24.08
Brazil,BRA,1944,23.78
Brazil,BRA,1945,23.46
Brazil,BRA,1946,23.11
Brazil,BRA,1947,22.76
Brazil,BRA,1948,22.38
Brazil,BRA,1949,22.01
Brazil,BRA,1950,21.61
Brazil,BRA,1951,21.19
Brazil,BRA,1952,20.75
Brazil,BRA,1953,20.31
Brazil,BRA,1954,19.86
Brazil,BRA,1955,19.39
Brazil,BRA,1956,18.91
Brazil,BRA,1957,18.42
Brazil,BRA,1958,17.93
Brazil,BRA,1959,17.44
Brazil,BRA,1960,16.94
Brazil,BRA,1961,16.47
Brazil,BRA,1962,16.03
Brazil,BRA,1963,15.61
Brazil,BRA,1964,15.22
Brazil,BRA,1965,14.86
Brazil,BRA,1966,14.52
Brazil,BRA,1967,14.19
Brazil,BRA,1968,13.88
Brazil,BRA,1969,13.55
Brazil,BRA,1970,13.22
Brazil,BRA,1971,12.89
Brazil,BRA,1972,12.55
Brazil,BRA,1973,12.21
Brazil,BRA,1974,11.89
Brazil,BRA,1975,11.56
Brazil,BRA,1976,11.21
Brazil,BRA,1977,10.83
Brazil,BRA,1978,10.43
Brazil,BRA,1979,10.01
Brazil,BRA,1980,9.57
Brazil,BRA,1981,9.14
Brazil,BRA,1982,8.73
Brazil,BRA,1983,8.34
Brazil,BRA,1984,7.98
Brazil,BRA,1985,7.67
Brazil,BRA,1986,7.38
Brazil,BRA,1987,7.11
Brazil,BRA,1988,6.84
Brazil,BRA,1989,6.58
Brazil,BRA,1990,6.31
Brazil,BRA,1991,6.02
Brazil,BRA,1992,5.72
Brazil,BRA,1993,5.41
Brazil,BRA,1994,5.09
Brazil,BRA,1995,4.77
Brazil,BRA,1996,4.47
Brazil,BRA,1997,4.19
Brazil,BRA,1998,3.93
Brazil,BRA,1999,3.68
Brazil,BRA,2000,3.45
Brazil,BRA,2001,3.22
Brazil,BRA,2002,3.01
Brazil,BRA,2003,2.81
Brazil,BRA,2004,2.63
Brazil,BRA,2005,2.46
Brazil,BRA,2006,2.31
Brazil,BRA,2007,2.17
Brazil,BRA,2008,2.05
Brazil,BRA,2009,1.95
Brazil,BRA,2010,1.86
Brazil,BRA,2011,1.79
Brazil,BRA,2012,1.72
Brazil,BRA,2013,1.67
Brazil,BRA,2014,1.63
Brazil,BRA,2015,1.6
Brazil,BRA,2016,1.68
Brazil,BRA,2017,1.54
Brazil,BRA,2018,1.52
Brazil,BRA,2019,1.5
Brazil,BRA,2020,1.49
Brazil,BRA,2021,1.47
Brazil,BRA,2022,1.46
Brazil,BRA,2023,1.44
France,FRA,1816,27.32
France,FRA,1817,28.35
France,FRA,1818,29.37
France,FRA,1819,31.22
France,FRA,1820,28.48
France,FRA,1821,28.73
France,FRA,1822,30.94
France,FRA,1823,28.92
France,FRA,1824,30.56
France,FRA,1825,30.57
France,FRA,1826,30.37
France,FRA,1827,28.45
France,FRA,1828,31.28
France,FRA,1829,28.43
France,FRA,1830,28.29
France,FRA,1831,28.35
France,FRA,1832,29.8
France,FRA,1833,28.65
France,FRA,1834,33.8
France,FRA,1835,27.73
France,FRA,1836,25.91
France,FRA,1837,27.41
France,FRA,1838,28.65
France,FRA,1839,26.8
France,FRA,1840,26.07
France,FRA,1841,26.25
France,FRA,1842,27.01
France,FRA,1843,26.89
France,FRA,1844,25.19
France,FRA,1845,23.69
France,FRA,1846,27.16
France,FRA,1847,25.81
France,FRA,1848,26.48
France,FRA,1849,30.11
France,FRA,1850,23.81
France,FRA,1851,26.21
France,FRA,1852,26.51
France,FRA,1853,24.44
France,FRA,1854,29.8
France,FRA,1855,27.87
France,FRA,1856,26.86
France,FRA,1857,28.55
France,FRA,1858,28.25
France,FRA,1859,34.73
France,FRA,1860,24.33
France,FRA,1861,29.11
France,FRA,1862,25.83
France,FRA,1863,27.52
France,FRA,1864,26.49
France,FRA,1865,28.33
France,FRA,1866,25.33
France,FRA,1867,26.35
France,FRA,1868,28.84
France,FRA,1869,27.36
France,FRA,1870,30.03
France,FRA,1871,34.39
France,FRA,1872,25.49
France,FRA,1873,26.7
France,FRA,1874,24.17
France,FRA,1875,24.57
France,FRA,1876,24.04
France,FRA,1877,23.7
France,FRA,1878,24.95
France,FRA,1879,23.54
France,FRA,1880,25.7
France,FRA,1881,24.41
France,FRA,1882,24.84
France,FRA,1883,24.79
France,FRA,1884,26
France,FRA,1885,24.02
France,FRA,1886,25
France,FRA,1887,24.26
France,FRA,1888,24.18
France,FRA,1889,22.95
France,FRA,1890,25.06
France,FRA,1891,23.55
France,FRA,1892,25.02
France,FRA,1893,24.9
France,FRA,1894,22.63
France,FRA,1895,22.82
France,FRA,1896,20.32
France,FRA,1897,20.7
France,FRA,1898,22.85
France,FRA,1899,23.42
France,FRA,1900,22.4
France,FRA,1901,20.66
France,FRA,1902,19.66
France,FRA,1903,19.44
France,FRA,1904,20.17
France,FRA,1905,19.06
France,FRA,1906,20
France,FRA,1907,18.4
France,FRA,1908,18.16
France,FRA,1909,16.75
France,FRA,1910,16.01
France,FRA,1911,20.43
France,FRA,1912,15.7
France,FRA,1913,16.3
France,FRA,1914,15.51
France,FRA,1915,16.59
France,FRA,1916,16.42
France,FRA,1917,18.1
France,FRA,1918,22.16
France,FRA,1919,17.78
France,FRA,1920,16.78
France,FRA,1921,15.52
France,FRA,1922,11.91
France,FRA,1923,13.4
France,FRA,1924,11.89
France,FRA,1925,12.75
France,FRA,1926,13.42
France,FRA,1927,11.8
France,FRA,1928,12.66
France,FRA,1929,13.02
France,FRA,1930,10.94
France,FRA,1931,10.47
France,FRA,1932,10.62
France,FRA,1933,10.04
France,FRA,1934,9.77
France,FRA,1935,9.18
France,FRA,1936,9.24
France,FRA,1937,8.98
France,FRA,1938,8.95
France,FRA,1939,8.57
France,FRA,1940,11.53
France,FRA,1941,9.41
France,FRA,1942,9.66
France,FRA,1943,10.11
France,FRA,1944,10.5
France,FRA,1945,13.63
France,FRA,1946,9.73
France,FRA,1947,8.27
France,FRA,1948,6.51
France,FRA,1949,6.12
France,FRA,1950,5.71
France,FRA,1951,5.33
France,FRA,1952,4.97
France,FRA,1953,4.63
France,FRA,1954,4.31
France,FRA,1955,4.01
France,FRA,1956,3.74
France,FRA,1957,3.48
France,FRA,1958,3.24
France,FRA,1959,3.03
France,FRA,1960,2.85
France,FRA,1961,2.7
France,FRA,1962,2.57
France,FRA,1963,2.45
France,FRA,1964,2.34
France,FRA,1965,2.24
France,FRA,1966,2.14
France,FRA,1967,2.06
France,FRA,1968,1.99
France,FRA,1969,1.91
France,FRA,1970,1.82
France,FRA,1971,1.74
France,FRA,1972,1.66
France,FRA,1973,1.6
France,FRA,1974,1.54
France,FRA,1975,1.49
France,FRA,1976,1.44
France,FRA,1977,1.39
France,FRA,1978,1.34
France,FRA,1979,1.28
France,FRA,1980,1.24
France,FRA,1981,1.19
France,FRA,1982,1.15
France,FRA,1983,1.11
France,FRA,1984,1.07
France,FRA,1985,1.04
France,FRA,1986,1.01
France,FRA,1987,0.98
France,FRA,1988,0.96
France,FRA,1989,0.93
France,FRA,1990,0.9
France,FRA,1991,0.86
France,FRA,1992,0.81
France,FRA,1993,0.75
France,FRA,1994,0.7
France,FRA,1995,0.65
France,FRA,1996,0.61
France,FRA,1997,0.58
France,FRA,1998,0.57
France,FRA,1999,0.55
France,FRA,2000,0.54
France,FRA,2001,0.52
France,FRA,2002,0.51
France,FRA,2003,0.49
France,FRA,2004,0.48
France,FRA,2005,0.46
France,FRA,2006,0.45
France,FRA,2007,0.44
France,FRA,2008,0.44
France,FRA,2009,0.43
France,FRA,2010,0.42
France,FRA,2011,0.42
France,FRA,2012,0.41
France,FRA,2013,0.41
France,FRA,2014,0.41
France,FRA,2015,0.42
France,FRA,2016,0.42
France,FRA,2017,0.42
France,FRA,2018,0.42
France,FRA,2019,0.42
France,FRA,2020,0.42
France,FRA,2021,0.43
France,FRA,2022,0.43
France,FRA,2023,0.43
Ghana,GHA,1932,36.64
Ghana,GHA,1933,35.99
Ghana,GHA,1934,35.32
Ghana,GHA,1935,34.62
Ghana,GHA,1936,33.96
Ghana,GHA,1937,33.31
Ghana,GHA,1938,32.69
Ghana,GHA,1939,32.05
Ghana,GHA,1940,31.37
Ghana,GHA,1941,30.69
Ghana,GHA,1942,30.02
Ghana,GHA,1943,29.4
Ghana,GHA,1944,28.77
Ghana,GHA,1945,28.19
Ghana,GHA,1946,27.61
Ghana,GHA,1947,27.04
Ghana,GHA,1948,26.48
Ghana,GHA,1949,25.89
Ghana,GHA,1950,25.3
Ghana,GHA,1951,24.73
Ghana,GHA,1952,24.17
Ghana,GHA,1953,23.65
Ghana,GHA,1954,23.15
Ghana,GHA,1955,22.67
Ghana,GHA,1956,22.23
Ghana,GHA,1957,21.86
Ghana,GHA,1958,21.51
Ghana,GHA,1959,21.2
Ghana,GHA,1960,20.92
Ghana,GHA,1961,20.7
Ghana,GHA,1962,20.53
Ghana,GHA,1963,20.39
Ghana,GHA,1964,20.31
Ghana,GHA,1965,20.27
Ghana,GHA,1966,20.26
Ghana,GHA,1967,20.27
Ghana,GHA,1968,20.29
Ghana,GHA,1969,20.27
Ghana,GHA,1970,20.23
Ghana,GHA,1971,20.11
Ghana,GHA,1972,19.9
Ghana,GHA,1973,19.59
Ghana,GHA,1974,19.18
Ghana,GHA,1975,18.67
Ghana,GHA,1976,18.15
Ghana,GHA,1977,17.65
Ghana,GHA,1978,17.23
Ghana,GHA,1979,16.91
Ghana,GHA,1980,16.7
Ghana,GHA,1981,16.55
Ghana,GHA,1982,16.39
Ghana,GHA,1983,16.19
Ghana,GHA,1984,15.9
Ghana,GHA,1985,15.51
Ghana,GHA,1986,15
Ghana,GHA,1987,14.43
Ghana,GHA,1988,13.83
Ghana,GHA,1989,13.26
Ghana,GHA,1990,12.75
Ghana,GHA,1991,12.33
Ghana,GHA,1992,12.01
Ghana,GHA,1993,11.77
Ghana,GHA,1994,11.6
Ghana,GHA,1995,11.45
Ghana,GHA,1996,11.29
Ghana,GHA,1997,11.06
Ghana,GHA,1998,10.77
Ghana,GHA,1999,10.41
Ghana,GHA,2000,10.02
Ghana,GHA,2001,9.61
Ghana,GHA,2002,9.21
Ghana,GHA,2003,8.85
Ghana,GHA,2004,8.52
Ghana,GHA,2005,8.22
Ghana,GHA,2006,7.93
Ghana,GHA,2007,7.63
Ghana,GHA,2008,7.31
Ghana,GHA,2009,6.99
Ghana,GHA,2010,6.65
Ghana,GHA,2011,6.33
Ghana,GHA,2012,6.02
Ghana,GHA,2013,5.74
Ghana,GHA,2014,5.48
Ghana,GHA,2015,5.25
Ghana,GHA,2016,5.02
Ghana,GHA,2017,4.81
Ghana,GHA,2018,4.6
Ghana,GHA,2019,4.39
Ghana,GHA,2020,4.2
Ghana,GHA,2021,4.02
Ghana,GHA,2022,3.85
Ghana,GHA,2023,3.71
India,IND,1911,33.34
India,IND,1912,33.83
India,IND,1913,31.71
India,IND,1914,34.47
India,IND,1915,32.85
India,IND,1916,32.85
India,IND,1917,33.34
India,IND,1918,43.36
India,IND,1919,36.41
India,IND,1920,31.71
India,IND,1921,32.2
India,IND,1922,28.44
India,IND,1923,28.6
India,IND,1924,30.73
India,IND,1925,28.27
India,IND,1926,30.73
India,IND,1927,27.16
India,IND,1928,28.11
India,IND,1929,28.93
India,IND,1930,29.42
India,IND,1931,29.1
India,IND,1932,27.47
India,IND,1933,27.78
India,IND,1934,30.41
India,IND,1935,26.68
India,IND,1936,26.35
India,IND,1937,26.35
India,IND,1938,27.16
India,IND,1939,25.32
India,IND,1940,26.02
India,IND,1941,25.67
India,IND,1942,26.52
India,IND,1943,26.85
India,IND,1944,27.47
India,IND,1945,24.43
India,IND,1950,26.68
India,IND,1953,26.9
India,IND,1954,26.45
India,IND,1955,26.04
India,IND,1956,25.61
India,IND,1957,25.22
India,IND,1958,24.83
India,IND,1959,24.46
India,IND,1960,24.11
India,IND,1961,23.79
India,IND,1962,23.48
India,IND,1963,23.2
India,IND,1964,22.93
India,IND,1965,22.69
India,IND,1966,22.44
India,IND,1967,22.2
India,IND,1968,21.97
India,IND,1969,21.72
India,IND,1970,21.45
India,IND,1971,21.15
India,IND,1972,20.83
India,IND,1973,20.47
India,IND,1974,20.07
India,IND,1975,19.61
India,IND,1976,19.12
India,IND,1977,18.58
India,IND,1978,18.02
India,IND,1979,17.45
India,IND,1980,16.91
India,IND,1981,16.38
India,IND,1982,15.9
India,IND,1983,15.45
India,IND,1984,15.03
India,IND,1985,14.62
India,IND,1986,14.22
India,IND,1987,13.82
India,IND,1988,13.42
India,IND,1989,13.03
India,IND,1990,12.65
India,IND,1991,12.29
India,IND,1992,11.95
India,IND,1993,11.61
India,IND,1994,11.28
India,IND,1995,10.95
India,IND,1996,10.6
India,IND,1997,10.25
India,IND,1998,9.89
India,IND,1999,9.53
India,IND,2000,9.16
India,IND,2001,8.8
India,IND,2002,8.45
India,IND,2003,8.11
India,IND,2004,7.77
India,IND,2005,7.44
India,IND,2006,7.11
India,IND,2007,6.79
India,IND,2008,6.46
India,IND,2009,6.14
India,IND,2010,5.82
India,IND,2011,5.5
India,IND,2012,5.2
India,IND,2013,4.91
India,IND,2014,4.63
India,IND,2015,4.36
India,IND,2016,4.11
India,IND,2017,3.87
India,IND,2018,3.64
India,IND,2019,3.43
India,IND,2020,3.24
India,IND,2021,3.06
India,IND,2022,2.91
India,IND,2023,2.77
Sweden,SWE,1751,29.98
Sweden,SWE,1752,35.97
Sweden,SWE,1753,30.34
Sweden,SWE,1754,32.69
Sweden,SWE,1755,34.5
Sweden,SWE,1756,33.78
Sweden,SWE,1757,35.63
Sweden,SWE,1758,33.53
Sweden,SWE,1759,28.5
Sweden,SWE,1760,27.26
Sweden,SWE,1761,31.56
Sweden,SWE,1762,37.7
Sweden,SWE,1763,39.53
Sweden,SWE,1764,31.61
Sweden,SWE,1765,31.6
Sweden,SWE,1766,31.19
Sweden,SWE,1767,29.85
Sweden,SWE,1768,35.75
Sweden,SWE,1769,35.85
Sweden,SWE,1770,32.54
Sweden,SWE,1771,32.33
Sweden,SWE,1772,36.66
Sweden,SWE,1773,48.97
Sweden,SWE,1774,27.96
Sweden,SWE,1775,30.59
Sweden,SWE,1776,25.62
Sweden,SWE,1777,30.21
Sweden,SWE,1778,35.32
Sweden,SWE,1779,39.42
Sweden,SWE,1780,26.11
Sweden,SWE,1781,30.04
Sweden,SWE,1782,30.1
Sweden,SWE,1783,34.46
Sweden,SWE,1784,38.22
Sweden,SWE,1785,34.46
Sweden,SWE,1786,29.49
Sweden,SWE,1787,27.03
Sweden,SWE,1788,32.59
Sweden,SWE,1789,34.38
Sweden,SWE,1790,32.55
Sweden,SWE,1791,28.62
Sweden,SWE,1792,29.73
Sweden,SWE,1793,29.98
Sweden,SWE,1794,28.06
Sweden,SWE,1795,31.45
Sweden,SWE,1796,31.53
Sweden,SWE,1797,29.4
Sweden,SWE,1798,27.17
Sweden,SWE,1799,28.9
Sweden,SWE,1800,38.11
Sweden,SWE,1801,32.88
Sweden,SWE,1802,28.29
Sweden,SWE,1803,27.53
Sweden,SWE,1804,27.17
Sweden,SWE,1805,26.59
Sweden,SWE,1806,33.28
Sweden,SWE,1807,27.83
Sweden,SWE,1808,34.96
Sweden,SWE,1809,36.59
Sweden,SWE,1810,34.6
Sweden,SWE,1811,32.46
Sweden,SWE,1812,31.22
Sweden,SWE,1813,30.36
Sweden,SWE,1814,29.94
Sweden,SWE,1815,27.46
Sweden,SWE,1816,27.35
Sweden,SWE,1817,27.61
Sweden,SWE,1818,26.97
Sweden,SWE,1819,29.36
Sweden,SWE,1820,26.08
Sweden,SWE,1821,30.51
Sweden,SWE,1822,24.5
Sweden,SWE,1823,21.76
Sweden,SWE,1824,22.46
